city,crime_name,2010,2011,2012,2013,2014,avg,Latitude,Longitude
Agra,Other theft,23.2,34.5,32.4,27.9,33.3,30.3,27.18,78.01
,,,,,,,,,
Agra,Political riots,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Possession of forged or counterfeiting currency or bank notes,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Preparation & assembly for dacoity,0,0,0.3,0,0,0.1,27.18,78.01
,,,,,,,,,
Agra,"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.1,0.1,27.18,78.01
,,,,,,,,,
Agra,Rape,1.6,7.6,4.1,4.9,4.7,4.6,27.18,78.01
,,,,,,,,,
Agra,Rape other than custodial,,,,,4.7,4.7,27.18,78.01
,,,,,,,,,
Agra,Riots,9.8,23.9,13,13,13.9,14.7,27.18,78.01
,,,,,,,,,
Agra,Riots others,,,,,13.9,13.9,27.18,78.01
,,,,,,,,,
Agra,Robbery,2.8,7.7,7.8,7.3,8.5,6.8,27.18,78.01
,,,,,,,,,
Agra,SCs-STs vs Non-SCs-STs riots,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Sectarian riots,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Sedition,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Sexual harassment,,,,,19.7,19.7,27.18,78.01
,,,,,,,,,
Agra,Sexual harassment and molestation of women,14.3,23.6,12.9,20.8,25.7,19.5,27.18,78.01
,,,,,,,,,
Agra,Stalking,,,,,2.2,2.2,27.18,78.01
,,,,,,,,,
Agra,Student riots,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Theft,129.1,182.4,175.8,144.8,174.5,161.3,27.18,78.01
,,,,,,,,,
Agra,Total cognizable crimes under IPC,363.5,480,374.4,365.1,389,394.4,27.18,78.01
,,,,,,,,,
Agra,Unlawful assembly,,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Unnatural offences,,,,,0.1,0.1,27.18,78.01
,,,,,,,,,
Agra,Use of criminal force with intent to disrobe women,,,,,1,1,27.18,78.01
,,,,,,,,,
Agra,"Using as genuine, forged or counterfeiting currency or bank notes",,,,,0,0,27.18,78.01
,,,,,,,,,
Agra,Voyeurism,,,,,0.2,0.2,27.18,78.01
,,,,,,,,,
Ahmedabad,Acid attack,,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Agrarian riots,,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Arson,0.1,0.1,0.3,0.4,0.1,0.2,23.02,72.58
,,,,,,,,,
Ahmedabad,Assault on women with intent to outrage her modesty,2.4,2.8,2.6,6,5.4,3.8,23.02,72.58
,,,,,,,,,
Ahmedabad,Attempt to acid attack,,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Attempt to commit culpable homicide not amounting to murder,,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Attempt to commit murder,1.5,1.1,0.8,1.1,1,1.1,23.02,72.58
,,,,,,,,,
Ahmedabad,Attempt to commit rape,,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Auto theft,68.6,36.3,35.5,32.9,26.7,40,23.02,72.58
,,,,,,,,,
Ahmedabad,Burglary,17.7,13.1,11,10.6,7.9,12.1,23.02,72.58
,,,,,,,,,
Ahmedabad,Caste conflict riots,,,,,0.1,0.1,23.02,72.58
,,,,,,,,,
Ahmedabad,Causing death by negligence,4.5,2.9,3.8,4.2,5.2,4.1,23.02,72.58
,,,,,,,,,
Ahmedabad,Causing injuries under rash driving or road rage,,,,,27.6,27.6,23.02,72.58
,,,,,,,,,
Ahmedabad,Cheating,4.7,4.5,3.9,4,3.4,4.1,23.02,72.58
,,,,,,,,,
Ahmedabad,Communal riots,,,,,0.3,0.3,23.02,72.58
,,,,,,,,,
Ahmedabad,Counterfeit currency & bank notes total,,,,,0.2,0.2,23.02,72.58
,,,,,,,,,
Ahmedabad,Counterfeiting,0.4,0.2,0.3,0.4,0.2,0.3,23.02,72.58
,,,,,,,,,
Ahmedabad,Counterfeiting currency - notes or bank notes,,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Counterfeiting government stamp,,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Criminal breach of trust,5.8,4.9,4.7,3.6,2.7,4.3,23.02,72.58
,,,,,,,,,
Ahmedabad,Criminal trespass or burglary,,,,,3.7,3.7,23.02,72.58
,,,,,,,,,
Ahmedabad,Cruelty by husband or his relatives,40.9,46.3,48.2,58.5,26.7,44.1,23.02,72.58
,,,,,,,,,
Ahmedabad,Culpable homicide not amounting to murder,0.1,0,0.1,0,0.1,0.1,23.02,72.58
,,,,,,,,,
Ahmedabad,Custodial rape,0,0,0,0,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Dacoity,0.6,0.5,0.4,0.3,0.3,0.4,23.02,72.58
,,,,,,,,,
Ahmedabad,Dacoity with murder,,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Deaths due to other causes,,,,,0.1,0.1,23.02,72.58
,,,,,,,,,
Ahmedabad,Deaths due to rash or negligent driving,,,,,5.1,5.1,23.02,72.58
,,,,,,,,,
Ahmedabad,Disclosure of identity of victims,,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Dowry deaths,0.4,0.6,0.4,0.7,0.4,0.5,23.02,72.58
,,,,,,,,,
Ahmedabad,Extortion,,,,,0.4,0.4,23.02,72.58
,,,,,,,,,
Ahmedabad,Forgery,,,,,0.1,0.1,23.02,72.58
,,,,,,,,,
Ahmedabad,Gang rape,,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Gang rape other than custodial,,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Grievous hurt,,,,,3.8,3.8,23.02,72.58
,,,,,,,,,
Ahmedabad,House trespass & house breaking,,,,,4.2,4.2,23.02,72.58
,,,,,,,,,
Ahmedabad,Human trafficking,,,,,0,0,23.02,72.58
,,,,,,,,,
Ahmedabad,Hurt,30.2,22.5,20.8,21.1,3.9,19.7,23.02,72.58
,,,,,,,,,
Ahmedabad,Importation of girls from foreign country,0,0,0,0,0,0,23.02,72.58
