Time,Year,Month,Day,Hour,Minute,Realtime wind speed,Forecast wind speed
2019/6/21 3:00,2019,6,21,3,0,0.4,1.10163821
2019/6/21 4:00,2019,6,21,4,0,1.2,1.331656491
2019/6/21 5:00,2019,6,21,5,0,1.1,1.182013481
2019/6/21 6:00,2019,6,21,6,0,0.7,0.666011653
2019/6/21 7:00,2019,6,21,7,0,1.6,1.154899915
2019/6/21 8:00,2019,6,21,8,0,1.7,0.958901581
2019/6/21 9:00,2019,6,21,9,0,0.8,0.499902994
2019/6/21 10:00,2019,6,21,10,0,2.4,0.574027494
2019/6/21 11:00,2019,6,21,11,0,1.5,1.133538322
2019/6/21 12:00,2019,6,21,12,0,1.2,1.455041037
2019/6/21 13:00,2019,6,21,13,0,4,2.20687901
2019/6/21 14:00,2019,6,21,14,0,4.6,2.982594973
2019/6/21 15:00,2019,6,21,15,0,5.9,3.544434099
2019/6/21 16:00,2019,6,21,16,0,5.3,2.964872111
2019/6/21 17:00,2019,6,21,17,0,4.9,2.987551951
2019/6/21 18:00,2019,6,21,18,0,2.7,2.248067025
2019/6/21 19:00,2019,6,21,19,0,2.1,1.787186351
2019/6/21 20:00,2019,6,21,20,0,2.2,1.443701601
2019/6/21 21:00,2019,6,21,21,0,1.8,1.414755365
2019/6/21 22:00,2019,6,21,22,0,2.5,0.958116429
2019/6/21 23:00,2019,6,21,23,0,2,0.906349247
2019/6/22 0:00,2019,6,22,0,0,2.3,0.94876314
2019/6/22 1:00,2019,6,22,1,0,2.7,1.083404431
2019/6/22 2:00,2019,6,22,2,0,2.9,1.032623772
2019/6/22 3:00,2019,6,22,3,0,3.9,1.056690916
2019/6/22 4:00,2019,6,22,4,0,4,1.733898214
2019/6/22 5:00,2019,6,22,5,0,5,1.90310342
2019/6/22 6:00,2019,6,22,6,0,3.6,1.869498598
2019/6/22 7:00,2019,6,22,7,0,4.3,1.59262486
2019/6/22 8:00,2019,6,22,8,0,4.3,1.670462331
2019/6/22 9:00,2019,6,22,9,0,4,1.593042245
2019/6/22 10:00,2019,6,22,10,0,6.5,2.908097695
2019/6/22 11:00,2019,6,22,11,0,7.2,3.554409134
2019/6/22 12:00,2019,6,22,12,0,6.9,4.406250514
2019/6/22 13:00,2019,6,22,13,0,6.4,5.000139079
2019/6/22 14:00,2019,6,22,14,0,7.8,5.041330563
2019/6/22 15:00,2019,6,22,15,0,7.6,5.043972167
2019/6/22 16:00,2019,6,22,16,0,7.1,4.956121306
2019/6/22 17:00,2019,6,22,17,0,8.2,5.098615656
2019/6/22 18:00,2019,6,22,18,0,6.2,4.971058855
2019/6/22 19:00,2019,6,22,19,0,6.5,4.967779119
2019/6/22 20:00,2019,6,22,20,0,5.1,4.392800589
2019/6/22 21:00,2019,6,22,21,0,3.9,4.428955365
2019/6/22 22:00,2019,6,22,22,0,2.9,4.023318149
2019/6/22 23:00,2019,6,22,23,0,2.6,3.308859882
2019/6/23 0:00,2019,6,23,0,0,1.1,2.878180403
2019/6/23 1:00,2019,6,23,1,0,2.4,3.052227147
2019/6/23 2:00,2019,6,23,2,0,2.6,2.977115392
2019/6/23 3:00,2019,6,23,3,0,3,2.906976374
2019/6/23 4:00,2019,6,23,4,0,2.4,2.760762108
