Year,Month,Day,Hour,Minute,Temperature  [2 m above gnd],Mean Sea Level Pressure  [MSL],Radiation  [W],Wind Speed  [10 m above gnd]
2019,6,22,8,0,23.6,1,113.8898,4.3
2019,6,22,9,0,23.6,1,380.5586,4
2019,6,22,10,0,24.4,1,561.1156,6.5
2019,6,22,11,0,25.4,1,605.5604,7.2
2019,6,22,12,0,25.9,1,902.785,6.9
2019,6,22,13,0,26.1,1,794.4508,6.4
2019,6,22,14,0,25.8,1,708.339,7.8
2019,6,22,15,0,26.3,1,505.5596,7.6
2019,6,22,16,0,25.1,1,341.6694,7.1
2019,6,22,17,0,23.9,1,183.3348,8.2
2019,6,22,18,0,22.9,1,80.5562,6.2
2019,6,22,19,0,22.4,1,11.1112,6.5
2019,6,22,20,0,21.8,1,0,5.1
2019,6,22,21,0,21.6,1,0,3.9
2019,6,22,22,0,21.1,1,0,2.9
2019,6,22,23,0,20.3,1,0,2.6
2019,6,23,0,0,20.4,1,0,1.1
2019,6,23,1,0,20.6,1,0,2.4
2019,6,23,2,0,20.2,1,0,2.6
2019,6,23,3,0,19.8,1,0,3
2019,6,23,4,0,19.6,1,0,2.4
2019,6,23,5,0,19.6,1,30.5558,2.5
2019,6,23,6,0,20,1,166.668,3
2019,6,23,7,0,20.6,1,261.1132,2.5
2019,6,23,8,0,21.5,1,333.336,4.8
2019,6,23,9,0,22.7,1,577.7824,5.2
2019,6,23,10,0,23.9,1,930.563,6.8
2019,6,23,11,0,24.7,1,986.119,7.8
2019,6,23,12,0,25.1,1,1052.7862,6.1
2019,6,23,13,0,25.2,1,991.6746,7.7
2019,6,23,14,0,25.1,1,880.5626,6.5
2019,6,23,15,0,24.9,1,722.228,7.1
2019,6,23,16,0,23.9,1,533.3376,7.5
2019,6,23,17,0,23.6,1,319.447,6.3
2019,6,23,18,0,22.7,1,63.8894,6.9
2019,6,23,19,0,21.9,1,5.5556,5.8
2019,6,23,20,0,21.3,1,0,4.4
2019,6,23,21,0,20.8,1,0,5.5
2019,6,23,22,0,20.6,1,0,3.2
2019,6,23,23,0,20.4,1,0,1.8
