,DateTime,Date,Year,Month,Day,Hour,wind_10m[m/s],index,temperature,index,radiation,index,Uwind,index,Vwind,wind_30m[m/s],wind output[kWh],ts,ω,n,δ the solar declination,cosθ,θ(radian),θ(degree),cosθz,θz(radian),θz(degree),Gon(the extraterrestrial normal radiation)[kW/m2],Go(the extraterrestrial horizontal radiation)[kW/m2],_Go(the extraterrestrial horizontal radiation averaged over the time step )[kW/m2],the global horizontal radiation[kW/m2],kt(the clearness index),_Gd(the diffuse radiation)[kW/m2],_Gb(the beam radiation)[kW/m2],_G,Rb,Af,f,_Gt,temperature[K],Tc(the PV cell temperature)[K],Tc(the PV cell temperature)[°C],Ppv(the output of the PV array)[Wh]
0,2019-05-06 21:00:00,2019-05-06 21:00:00,2019,5,6,21,4.076975459191209,temperature FH0,15.968160400390616,radiation FH0-1W/m2(avg),0.0,Uwind FH0m/s,1.7102127075195312,Vwind FH0m/s,3.700932502746582,5.9125030402711225,0.44850039957849036,21,135,126,16.402297769361116,-0.6765968040078227,2.3139274030813235,132.57827429622668,-0.4113992000138478,1.9947849855750304,114.29276070951404,1.341595707677234,0.551931400880426,0.8468468657890474,0.0,0.0,0.0,0.0,0.0,1.6446235286433428,0.0,0.0,0.0,289.1181604003906,289.1181604003906,15.968160400390616,0.0
1,2019-05-06 22:00:00,2019-05-06 22:00:00,2019,5,6,22,4.932781401519967,temperature FH1,15.168111572265616,radiation FH1-2W/m2(avg),0.0,Uwind FH1m/s,2.4524173736572266,Vwind FH1m/s,4.279951095581056,7.153608189553692,0.6116170763413423,22,150,126,16.402297769361116,-0.8290450317704978,2.54819404729634,146.00076429043995,-0.5387472877924162,2.1397457717490904,122.59840195218607,1.341595707677234,0.7227810488250571,0.9867720870984519,0.0,0.0,0.0,0.0,0.0,1.538838432333669,0.0,0.0,0.0,288.3181115722656,288.3181115722656,15.168111572265616,0.0
2,2019-05-06 23:00:00,2019-05-06 23:00:00,2019,5,6,23,4.5159381691301075,temperature FH2,14.805471191406241,radiation FH2-3W/m2(avg),0.0,Uwind FH2m/s,2.28493881225586,Vwind FH2m/s,3.895221710205078,6.549094646734768,0.5321667249994266,23,165,126,16.402297769361116,-0.9248779940414364,2.751510950077595,157.64996472347755,-0.6188016424442696,2.2380126051097387,128.22867676986655,1.341595707677234,0.8301816274068546,1.1464394427803926,0.0,0.0,0.0,0.0,0.0,1.4946275681948156,0.0,0.0,0.0,287.9554711914062,287.9554711914062,14.805471191406241,0.0
3,2019-05-07 00:00:00,2019-05-07 00:00:00,2019,5,7,0,4.369300041143175,temperature FH3,14.415334472656241,radiation FH3-4W/m2(avg),0.0,Uwind FH3m/s,2.8999357223510738,Vwind FH3m/s,3.2682037353515625,6.336437399660144,0.504217486812476,0,-180,127,16.688347792507614,-0.9561139726691534,2.844234838803148,162.9626522074924,-0.6422881332605868,2.268276185645019,129.9626522074924,1.340957797885735,0.8612812807852561,1.0570630703524821,0.0,0.0,0.0,0.0,0.0,1.4886060058675292,0.0,0.0,0.0,287.5653344726562,287.5653344726562,14.415334472656241,0.0
4,2019-05-07 01:00:00,2019-05-07 01:00:00,2019,5,7,1,3.405284872223717,temperature FH4,14.053151855468741,radiation FH4-5W/m2(avg),0.0,Uwind FH4m/s,2.8763532638549805,Vwind FH4m/s,1.8227882385253904,4.938405286355618,0.32047612334959547,1,-165,127,16.688347792507614,-0.9234755774602064,2.7478393278924087,157.43959626829977,-0.6150235511856075,2.2332121609571463,127.95363158013477,1.340957797885735,0.8247206268457168,0.9847741805998821,0.0,0.0,0.0,0.0,0.0,1.5015288043522603,0.0,0.0,0.0,287.2031518554687,287.2031518554687,14.053151855468741,0.0
5,2019-05-07 02:00:00,2019-05-07 02:00:00,2019,5,7,2,3.098003982892065,temperature FH5,13.757802734374993,radiation FH5-6W/m2(avg),0.0,Uwind FH5m/s,2.590632438659668,Vwind FH5m/s,1.6988973617553709,4.492781021364084,0.261908362807851,2,-150,127,16.688347792507614,-0.827784644529357,2.5459438144578423,145.8718354458723,-0.5350878411722274,2.135408049605732,122.34986878067117,1.340957797885735,0.7175302131737419,0.8451227694682882,0.0,0.0,0.0,0.0,0.0,1.5470070161114349,0.0,0.0,0.0,286.90780273437497,286.90780273437497,13.757802734374991,0.0
6,2019-05-07 03:00:00,2019-05-07 03:00:00,2019,5,7,3,3.2477175599475845,temperature FH6,13.500386962890616,radiation FH6-7W/m2(avg),0.0,Uwind FH6m/s,2.59773063659668,Vwind FH6m/s,1.9492216110229488,4.709898339918222,0.2904437818178235,3,-135,127,16.688347792507614,-0.6755623528190984,2.3125234789241707,132.49783536726537,-0.40792848975785134,1.9909803653888118,114.07477203019344,1.340957797885735,0.547014889320542,0.6476258498414442,0.0,0.0,0.0,0.0,0.0,1.6560803419739474,0.0,0.0,0.0,286.6503869628906,286.6503869628906,13.500386962890616,0.0
7,2019-05-07 04:00:00,2019-05-07 04:00:00,2019,5,7,4,3.22238210373444,temperature FH7,13.149862060546866,radiation FH7-8W/m2(avg),0.0,Uwind FH7m/s,2.612081527709961,Vwind FH7m/s,1.8870019912719729,4.673156406250417,0.28561484196434045,4,-120,127,16.688347792507614,-0.477182399950254,2.0682420632525136,118.50154123579848,-0.24221119660060525,1.8154405907162672,104.01708380477918,1.340957797885735,0.32479499281681645,0.4057425104128305,0.0,0.0,0.0,0.0,0.0,1.970108758998062,0.0,0.0,0.0,286.29986206054684,286.29986206054684,13.149862060546866,0.0
8,2019-05-07 05:00:00,2019-05-07 05:00:00,2019,5,7,5,3.09250370968508,temperature FH8,12.893575439453116,radiation FH8-9W/m2(avg),11.75,Uwind FH8m/s,2.6225481033325195,Vwind FH8m/s,1.6388473510742188,4.484804426365135,0.26086001032227485,5,-105,127,16.688347792507614,-0.24616405187246304,1.819516845612183,104.25063600653469,-0.04922932136838026,1.6200455546380574,92.8217728996913,1.340957797885735,0.06601444237355233,0.1359567010333886,0.01175,0.08642457422613103,0.011658606012755868,9.139398724413231e-05,0.01175,5.000354362604985,1.2425624999999827e-05,0.08819417033087666,0.011386979583817059,286.0435754394531,286.3115490256589,13.161549025658928,1.8253676303703226
9,2019-05-07 06:00:00,2019-05-07 06:00:00,2019,5,7,6,2.774598406228451,temperature FH9,12.474782714843741,radiation FH9-10W/m2(avg),140.05602216720578,Uwind FH9m/s,2.535120010375977,Vwind FH9m/s,1.1276359558105469,4.023772445177171,0.20026723565185672,6,-90,127,16.688347792507614,0.0017491727686450606,1.5690471531342873,89.89977973161164,0.15786574005937598,1.4122674112287963,80.91696220727667,1.340957797885735,0.2116912951516227,0.14334612122980248,0.14005602216720578,0.9770478682341028,0.023109243657588954,0.11694677850961682,0.14005602216720578,0.011080129026013921,0.01676386708967439,0.9137833441248533,0.02488589272768555,285.6247827148437,286.2104307237019,13.060430723701927,3.9902945651435853
