,Year,Month,Day,Hour,Minute,Temperature(2m)[ÅãC],Mean Sea Level Pressure[hpa],Radiation[W/m2],Wind Speed(10m)[m/s],Wind Direction(10m),Wind Speed(80m)[m/s],Wind Direction(80m),Date,Time,n,ts,É÷,É¬ the solar declination,cosÉ∆,É∆(radian),É∆(degree),cosÉ∆z,É∆z(radian),É∆z(degree),Gon(the extraterrestrial normal radiation)[kW/m2],Go(the extraterrestrial horizontal radiation)[kW/m2],_Go(the extraterrestrial horizontal radiation averaged over the time step )[kW/m2],the global horizontal radiation[kW/m2],kt(the clearness index),_Gd(the diffuse radiation)[kW/m2],_Gb(the beam radiation)[kW/m2],_G,Rb,Af,f,_Gt,Temperature(2m)[K],Tc(the PV cell temperature)[K],Tc(the PV cell temperature)[ÅãC],Ppv(the output of the PV array)[Wh]
0,2017,1,1,0,0,3.38,1031.9,0.0,1.66,122.74,0.92,139.4,2017-01-01 00:00:00,2017-01-01 00:00:00,1,0,-180,-23.011636727869238,-0.9227895472902663,2.7460550255050804,157.33736327213074,-0.9837682296519485,2.9611716285163765,169.66263672786923,1.4121043163185625,1.3891833633485873,1.078655466187414,0.0,0.0,0.0,0.0,0.0,0.9380151945105443,0.0,0.0,0.0,276.53,276.53,3.3799999999999955,0.0
1,2017,1,1,1,0,3.39,1031.1,0.0,1.78,128.16,1.0,143.13,2017-01-01 00:00:00,2017-01-01 01:00:00,1,1,-165,-23.011636727869238,-0.8914273915088067,2.671281640487786,153.05316389073303,-0.9575697580396711,2.849244442565374,163.2496813601008,1.4121043163185625,1.3521883885039412,1.0055078233042363,0.0,0.0,0.0,0.0,0.0,0.9309268426915752,0.0,0.0,0.0,276.53999999999996,276.53999999999996,3.3899999999999864,0.0
2,2017,1,1,2,0,3.45,1029.9,0.0,1.57,116.57,1.03,119.05,2017-01-01 00:00:00,2017-01-01 02:00:00,1,2,-150,-23.011636727869238,-0.7994782032525218,2.49722238706469,143.0803032843916,-0.8807597257481944,2.6482604162822088,151.73414490452905,1.4121043163185625,1.2437246103685784,0.8641974285181794,0.0,0.0,0.0,0.0,0.0,0.9077143060479691,0.0,0.0,0.0,276.59999999999997,276.59999999999997,3.4499999999999886,0.0
3,2017,1,1,3,0,2.98,1030.2,0.0,1.8,109.44,0.7,180.0,2017-01-01 00:00:00,2017-01-01 03:00:00,1,3,-135,-23.011636727869238,-0.6532081677478588,2.282610064635032,130.78392297767138,-0.7585726095436021,2.431916007813707,139.33852337802955,1.4121043163185625,1.0711836561775558,0.664354351707439,0.0,0.0,0.0,0.0,0.0,0.8611017054001777,0.0,0.0,0.0,276.13,276.13,2.980000000000018,0.0
4,2017,1,1,4,0,2.49,1029.9,0.0,1.88,115.2,1.26,198.43,2017-01-01 00:00:00,2017-01-01 04:00:00,1,4,-120,-23.011636727869238,-0.462585346191798,2.051705420589817,117.55406140390998,-0.5993352594714806,2.2134667685848655,126.82230393237326,1.4121043163185625,0.8463239068215833,0.4195975683003694,0.0,0.0,0.0,0.0,0.0,0.7718306888864264,0.0,0.0,0.0,275.64,275.64,2.490000000000009,0.0
5,2017,1,1,5,0,2.25,1028.8,0.0,2.18,105.95,1.34,153.43,2017-01-01 00:00:00,2017-01-01 05:00:00,1,5,-105,-23.011636727869238,-0.2406003688542781,1.8137806693510965,103.92197731623129,-0.413899437787082,1.9975298165869249,114.45002794197222,1.4121043163185625,0.5844691826209647,0.14660684860645345,0.0,0.0,0.0,0.0,0.0,0.5813015116441101,0.0,0.0,0.0,275.4,275.4,2.25,0.0
6,2017,1,1,6,0,1.89,1028.5,0.0,2.31,107.65,1.92,152.1,2017-01-01 00:00:00,2017-01-01 06:00:00,1,6,-90,-23.011636727869238,-0.002381145093330066,1.5731774741383557,90.136429693179,-0.21490228929101282,1.7873881072537126,102.40979489751426,1.4121043163185625,0.3034644502945796,0.13601394096566327,0.0,0.0,0.0,0.0,0.0,0.011080129026013337,0.0,0.0,0.0,275.03999999999996,275.03999999999996,1.8899999999999864,0.0
7,2017,1,1,7,0,1.65,1028.1,11.11111111,2.46,116.57,2.64,150.52,2017-01-01 00:00:00,2017-01-01 07:00:00,1,7,-75,-23.011636727869238,0.23583807866761775,1.332715443746575,76.35897021858342,-0.015905140794943845,1.5867021382627238,90.91133586683728,1.4121043163185625,0.022459717968194775,0.4090046606595796,0.01111111111,0.02716622126525824,0.011083944888737459,2.7166221262541618e-05,0.01111111111,14.82778943664487,1.111111110888889e-05,0.04944653591378512,0.010785187610681361,274.79999999999995,275.05381141510463,1.9038114151046557,1.7776260379306146
8,2017,1,1,8,0,1.75,1028.2,147.22222219999998,2.56,120.58,2.66,145.71,2017-01-01 00:00:00,2017-01-01 08:00:00,1,8,-60,-23.011636727869238,0.45782305600513806,1.0952513130302524,62.75327774279525,0.16953068088945508,1.400442889517496,80.23946701845836,1.4121043163185625,0.23939500623242435,0.6537614440666487,0.14722222219999997,0.22519257373793855,0.1447535965012509,0.0024686256987490884,0.14722222219999997,2.7005321609229433,0.0016138923016742435,0.12949140364007095,0.14292909297914358,274.9,278.26359798810915,5.113597988109177,23.373608152050764
9,2017,1,1,9,0,2.12,1027.3,336.1111111,2.42,114.44,2.48,139.9,2017-01-01 00:00:00,2017-01-01 09:00:00,1,9,-45,-23.011636727869238,0.6484458775611988,0.86525518094504,49.57547006997916,0.3287680309615765,1.2357975327453992,70.80598295899152,1.4121043163185625,0.464254755588397,0.8536045208773888,0.3361111111,0.3937550737834937,0.2867312129247619,0.049379898175238135,0.3361111111,1.972350765567542,0.0421509043228484,0.383295446795929,0.38136298747418385,275.27,284.24474230522577,11.094742305225793,61.44997762910304
10,2017,1,1,10,0,3.23,1027.0,327.77777779999997,1.97,113.96,2.33,120.96,2017-01-01 00:00:00,2017-01-01 10:00:00,1,10,-30,-23.011636727869238,0.7947159130658616,0.6522569230306718,37.37156884784688,0.4509551471661687,1.102961139675633,63.19501827035306,1.4121043163185625,0.6367957097794193,0.9949149156634473,0.32777777779999995,0.32945307446860944,0.3044767864220618,0.023300991377938174,0.32777777779999995,1.7622948048379263,0.02318250387165607,0.2666228990554911,0.333887732243555,276.38,284.2374912987983,11.08749129879834,53.80114192716681
11,2017,1,1,11,0,4.29,1025.7,522.2222222,1.57,116.57,2.42,119.74,2017-01-01 00:00:00,2017-01-01 11:00:00,1,11,-15,-23.011636727869238,0.8866651013221466,0.4807137514352094,27.54286911113842,0.5277651794576455,1.0148290065344971,58.14541900188093,1.4121043163185625,0.7452594879147819,1.068062558546623,0.5222222222,0.48894347809609506,0.35820606918982345,0.16401615301017658,0.5222222222,1.6800371374127456,0.1751795120270236,0.5604225945667581,0.6645114514243282,277.44,293.07816949018587,19.928169490185894,104.71866387582172
12,2017,1,1,12,0,4.59,1022.7,586.1111111,1.1,90.0,1.4,94.09,2017-01-01 00:00:00,2017-01-01 12:00:00,1,12,0,-23.011636727869238,0.9180272571036061,0.40772002626363285,23.36063672786924,0.5539636510699228,0.9836786794217616,56.36063672786924,1.4121043163185625,0.7822544627594281,1.068062558546623,0.5861111111,0.5487610312803743,0.32686654316314934,0.2592445679368507,0.5861111111,1.6571976434383962,0.2768894165199466,0.6650661673208615,0.8096668665932614,277.73999999999995,296.7941602604947,23.644160260494743,126.38586547210657
13,2017,1,1,13,0,5.41,1023.0,538.8888889,0.36,33.69,0.32,71.57,2017-01-01 00:00:00,2017-01-01 13:00:00,1,13,15,-23.011636727869238,0.8866651013221466,0.4807137514352094,27.54286911113842,0.5277651794576455,1.0148290065344971,58.14541900188093,1.4121043163185625,0.7452594879147819,0.9949149156634473,0.5388888889,0.5416431902024992,0.30902995467744,0.22985893422255999,0.5388888889,1.6800371374127456,0.22869008215652814,0.6531020993357628,0.7360066996093058,278.56,295.88069099747236,22.73069099747238,115.15761643665788
14,2017,1,1,14,0,5.61,1022.4,436.1111111000001,0.28,315.0,0.4,270.0,2017-01-01 00:00:00,2017-01-01 14:00:00,1,14,30,-23.011636727869238,0.7947159130658616,0.6522569230306718,37.37156884784688,0.4509551471661687,1.102961139675633,63.19501827035306,1.4121043163185625,0.6367957097794193,0.8536045208773888,0.43611111110000006,0.5109053436733646,0.27920281238117356,0.1569082987188265,0.43611111110000006,1.7622948048379263,0.1339376331495701,0.5998247490355164,0.574813417066416,278.76,292.28727574829634,19.13727574829636,90.76582805855675
