,DateTime,Date,Year,Month,Day,Hour,wind_10m[m/s],index,temperature,index,radiation,index,Uwind,index,Vwind,wind_30m[m/s],wind output[kWh],ts,ω,n,δ the solar declination,cosθ,θ(radian),θ(degree),cosθz,θz(radian),θz(degree),Gon(the extraterrestrial normal radiation)[kW/m2],Go(the extraterrestrial horizontal radiation)[kW/m2],_Go(the extraterrestrial horizontal radiation averaged over the time step )[kW/m2],the global horizontal radiation[kW/m2],kt(the clearness index),_Gd(the diffuse radiation)[kW/m2],_Gb(the beam radiation)[kW/m2],_G,Rb,Af,f,_Gt,temperature[K],Tc(the PV cell temperature)[K],Tc(the PV cell temperature)[°C],Ppv(the output of the PV array)[Wh]
4,2019-05-06 13:00:00,2019-05-06 13:00:00,2019,5,6,13,4.738523626691559,temperature FH4,20.35017944335937,radiation FH4-5W/m2(avg),750.9100017547607,Uwind FH4m/s,4.027631759643556,Vwind FH4m/s,2.4963550567626958,6.871892075300428,0.5745915298966277,13,15,126,16.402297769361116,0.9283180374967839,0.3809333365794325,21.825872461837942,0.9292712630841573,0.37836117196672026,21.67849828531663,1.341595707677234,1.246706337821507,0.9940418147111045,0.7509100017547607,0.7554108797455321,0.13727492921295914,0.6136350725418016,0.7509100017547607,0.9989742224630839,0.6099789210798328,0.9039848298924021,0.7590096341960865,293.50017944335934,311.36220616810726,38.212206168107286,114.04091097982337
5,2019-05-06 14:00:00,2019-05-06 14:00:00,2019,5,6,14,6.7724234654140485,temperature FH5,19.017202148437487,radiation FH5-6W/m2(avg),678.5934677124022,Uwind FH5m/s,6.191253662109375,Vwind FH5m/s,2.744831085205078,9.821490153685543,0.9622529916272426,14,30,126,16.402297769361116,0.8324850752258453,0.5872183297605215,33.6451319479993,0.8492169084323038,0.5562958101646751,31.873402083246724,1.341595707677234,1.1393057592397096,0.8541165934016985,0.6785934677124023,0.794497464344723,0.11444195527535247,0.5641515124370498,0.6785934677124023,0.9802973385947457,0.4818511679651489,0.9117862550465758,0.6736949143790396,292.16720214843747,308.0214891334909,34.87148913349091,102.12563635423335
6,2019-05-06 15:00:00,2019-05-06 15:00:00,2019,5,6,15,6.183825529397366,temperature FH6,18.298055419921862,radiation FH6-7W/m2(avg),502.0846347808838,Uwind FH6m/s,5.1696434020996085,Vwind FH6m/s,3.3933000564575195,8.967894854662987,0.8500661808985639,15,45,126,16.402297769361116,0.6800368474631702,0.8229834361158104,47.15347749861034,0.7218688206537355,0.7642973063393199,43.79100994646041,1.341595707677234,0.9684561112950786,0.6562324477078798,0.5020846347808838,0.765101811918306,0.08860018011536828,0.41348445466551553,0.5020846347808838,0.9420504501736456,0.27134191577430916,0.9074884949059012,0.48085663900271564,291.44805541992184,302.7642149911191,29.614214991119127,73.90776353093224
7,2019-05-06 16:00:00,2019-05-06 16:00:00,2019,5,6,16,4.901067287039104,temperature FH7,17.792928466796862,radiation FH7-8W/m2(avg),426.0499377250672,Uwind FH7m/s,2.8805503845214844,Vwind FH7m/s,3.9652099609375,7.107615811094586,0.6055723637438598,16,60,126,16.402297769361116,0.48136244899817693,1.0685878951634527,61.22557643163391,0.5559055614778963,0.9813443537746693,56.22688972028171,1.341595707677234,0.7458005151526483,0.4138748551396696,0.4260499377250672,1.029417304371605,0.0702982397246361,0.3557516980004311,0.4260499377250672,0.8659068776330576,0.1472366824756199,0.9137833441248533,0.38014968419328826,290.94292846679684,299.8891177014789,26.739117701478904,58.86771822229794
8,2019-05-06 17:00:00,2019-05-06 17:00:00,2019,5,6,17,4.810210591917688,temperature FH8,17.159810791015616,radiation FH8-9W/m2(avg),232.8184935152531,Uwind FH8m/s,0.608184814453125,Vwind FH8m/s,4.771607398986816,6.9758537998901025,0.5882550708426991,17,75,126,16.402297769361116,0.2500012117612875,1.3181148201509394,75.52241610829438,0.3626372527503657,1.1997001042371938,68.73775265419613,1.341595707677234,0.48651258173375483,0.1435600851157317,0.2328184935152531,1.6217494809059585,0.038415051430016764,0.19440344208523636,0.23281849351525313,0.6893974898199021,0.02790857469254775,0.9137833441248533,0.17356579201609892,290.3098107910156,294.39439242979444,21.24439242979446,27.260107227736388
9,2019-05-06 18:00:00,2019-05-06 18:00:00,2019,5,6,18,4.491158835164544,temperature FH9,16.79875732421874,radiation FH9-10W/m2(avg),56.375,Uwind FH9m/s,0.04027557373046875,Vwind FH9m/s,4.490978240966797,6.513159211539299,0.5274437820880221,18,90,126,16.402297769361116,0.0017200217276737738,1.569076304219115,89.9014499657405,0.15523481031994388,1.4149311861734508,81.06958526917808,1.341595707677234,0.20826235520732636,0.1362903575030801,0.056375,0.41363894726540684,0.04640517575353766,0.009969824246462339,0.056375,0.01108012902601391,0.0013587909107932285,0.4205333799620467,0.04403507168802339,289.9487573242187,290.9850493446102,17.83504934461024,6.976364902066624
10,2019-05-06 19:00:00,2019-05-06 19:00:00,2019,5,6,19,4.5868204258674865,temperature FH10,16.36412597656249,radiation FH10-11W/m2(avg),0.0,Uwind FH10m/s,1.142742156982422,Vwind FH10m/s,4.442191123962402,6.651889368620137,0.545676888447218,19,105,126,16.402297769361116,-0.24656116830594016,1.8199265913442484,104.27411270765553,-0.05216763211047812,1.6229876499669809,92.99034254496377,1.341595707677234,0.06998787131910247,0.40660512752701755,0.0,0.0,0.0,0.0,0.0,4.726324702332372,0.0,0.0,0.0,289.51412597656247,289.51412597656247,16.36412597656249,0.0
11,2019-05-06 20:00:00,2019-05-06 20:00:00,2019,5,6,20,4.570778743816897,temperature FH11,15.963460693359366,radiation FH11-12W/m2(avg),0.0,Uwind FH11m/s,1.484710693359375,Vwind FH11m/s,4.322921752929688,6.62862543317472,0.5426193426458202,20,120,126,16.402297769361116,-0.4779224055428292,2.0690843155644982,118.54979873856034,-0.24543594083800832,1.8187656895141986,104.20759793236466,1.341595707677234,0.3292758047379955,0.6489627200952284,0.0,0.0,0.0,0.0,0.0,1.9472388758998656,0.0,0.0,0.0,289.11346069335934,289.11346069335934,15.963460693359366,0.0
12,2019-05-06 21:00:00,2019-05-06 21:00:00,2019,5,6,21,4.882047484080822,temperature FH12,15.658437499999993,radiation FH12-13W/m2(avg),0.0,Uwind FH12m/s,1.80769157409668,Vwind FH12m/s,4.535045623779297,7.0800329512167615,0.601947187874203,21,135,126,16.402297769361116,-0.6765968040078227,2.3139274030813235,132.57827429622668,-0.4113992000138478,1.9947849855750304,114.29276070951404,1.341595707677234,0.551931400880426,0.8468468657890474,0.0,0.0,0.0,0.0,0.0,1.6446235286433428,0.0,0.0,0.0,288.80843749999997,288.80843749999997,15.658437499999991,0.0
13,2019-05-06 22:00:00,2019-05-06 22:00:00,2019,5,6,22,4.7639348244413195,temperature FH13,15.359792480468741,radiation FH13-14W/m2(avg),0.0,Uwind FH13m/s,2.4127063751220703,Vwind FH13m/s,4.1077880859375,6.908743850705079,0.5794349060926676,22,150,126,16.402297769361116,-0.8290450317704978,2.54819404729634,146.00076429043995,-0.5387472877924162,2.1397457717490904,122.59840195218607,1.341595707677234,0.7227810488250571,0.9867720870984519,0.0,0.0,0.0,0.0,0.0,1.538838432333669,0.0,0.0,0.0,288.5097924804687,288.5097924804687,15.359792480468741,0.0
