,Year,Month,Day,Hour,Minute,Real_Temperature(2m)[ÅãC],Real_Mean Sea Level Pressure[hpa],Real_Radiation[W/m2],Real_Wind Speed(10m)[m/s],Time,ts,É÷,n,É¬ the solar declination,cosÉ∆,É∆(radian),É∆(degree),cosÉ∆z,É∆z(radian),É∆z(degree),Gon(the extraterrestrial normal radiation)[kW/m2],Go(the extraterrestrial horizontal radiation)[kW/m2],_Go(the extraterrestrial horizontal radiation averaged over the time step )[kW/m2],the global horizontal radiation[kW/m2],kt(the clearness index),_Gd(the diffuse radiation)[kW/m2],_Gb(the beam radiation)[kW/m2],_G,Rb,Af,f,_Gt,temperature[K],Tc(the PV cell temperature)[K],Real_Tc(the PV cell temperature)[ÅãC],Real_Ppv(the output of the PV array)[Wh]
0,2019,6,17,0,0,19.5,1,0.0,1.5,2019-06-17 00:00:00,0,-180,168,23.38727061938625,-0.9154079601684944,2.7273165791371095,156.26372938061377,-0.5484936070872588,2.1513579259789806,123.26372938061375,1.3232869977517463,0.7258144586085247,1.9276167611280977,0.0,0.0,0.0,0.0,0.0,1.668949187994572,0.0,0.0,0.0,292.65,292.65,19.5,0.0
1,2019,5,6,2,0,19.1,1,0.0,1.0,2019-05-06 02:00:00,2,-150,126,16.402297769361116,-0.8290450317704978,2.54819404729634,146.00076429043995,-0.5387472877924162,2.1397457717490904,122.59840195218607,1.341595707677234,0.7227810488250571,0.8468468657890474,0.0,0.0,0.0,0.0,0.0,1.538838432333669,0.0,0.0,0.0,292.25,292.25,19.100000000000023,0.0
2,2019,5,6,3,0,18.4,1,0.0,0.9,2019-05-06 03:00:00,3,-135,126,16.402297769361116,-0.6765968040078227,2.3139274030813235,132.57827429622668,-0.4113992000138478,1.9947849855750304,114.29276070951404,1.341595707677234,0.551931400880426,0.6489627200952284,0.0,0.0,0.0,0.0,0.0,1.6446235286433428,0.0,0.0,0.0,291.54999999999995,291.54999999999995,18.399999999999977,0.0
3,2019,5,6,4,0,18.6,1,0.0,1.1,2019-05-06 04:00:00,4,-120,126,16.402297769361116,-0.4779224055428292,2.0690843155644982,118.54979873856034,-0.24543594083800832,1.8187656895141986,104.20759793236466,1.341595707677234,0.3292758047379955,0.40660512752701755,0.0,0.0,0.0,0.0,0.0,1.9472388758998656,0.0,0.0,0.0,291.75,291.75,18.600000000000023,0.0
4,2019,5,6,5,0,18.5,1,0.0,0.8,2019-05-06 05:00:00,5,-105,126,16.402297769361116,-0.24656116830594016,1.8199265913442484,104.27411270765553,-0.05216763211047812,1.6229876499669809,92.99034254496377,1.341595707677234,0.06998787131910247,0.1362903575030801,0.0,0.0,0.0,0.0,0.0,4.726324702332372,0.0,0.0,0.0,291.65,291.65,18.5,0.0
5,2019,5,6,6,0,18.0,1,19.4446,1.4,2019-05-06 06:00:00,6,-90,126,16.402297769361116,0.0017200217276737738,1.569076304219115,89.9014499657405,0.15523481031994388,1.4149311861734508,81.06958526917808,1.341595707677234,0.20826235520732636,0.1435600851157317,0.019444600000000003,0.13544572632653873,0.019207568082688392,0.00023703191731161075,0.019444600000000003,0.01108012902601391,3.402832222439992e-05,0.11040885548446036,0.018018590725672065,291.15,291.5740375017441,18.424037501744124,2.850380554471244
6,2019,5,6,7,0,17.8,1,113.8898,2.2,2019-05-06 07:00:00,7,-75,126,16.402297769361116,0.2500012117612875,1.3181148201509394,75.52241610829438,0.3626372527503657,1.1997001042371938,68.73775265419613,1.341595707677234,0.48651258173375483,0.4138748551396696,0.1138898,0.2751793170946948,0.11016405833568574,0.003725741664314261,0.1138898,0.6893974898199021,0.001541990791605896,0.18086892364111945,0.10606355883150363,290.95,293.4460290845014,20.296029084501413,16.698627311502527
7,2019,5,6,8,0,19.0,1,313.8914,0.8,2019-05-06 08:00:00,8,-60,126,16.402297769361116,0.48136244899817693,1.0685878951634527,61.22557643163391,0.5559055614778963,0.9813443537746693,56.22688972028171,1.341595707677234,0.7458005151526483,0.6562324477078798,0.3138914,0.47832349816955094,0.22200301945942008,0.0918883805405799,0.3138914,0.8659068776330576,0.06030013687805787,0.5410539727235265,0.2903880675214003,292.15,298.9837991890036,25.833799189003628,45.073273932326735
8,2019,5,6,9,0,20.9,1,413.8922,1.1,2019-05-06 09:00:00,9,-45,126,16.402297769361116,0.6800368474631702,0.8229834361158104,47.15347749861034,0.7218688206537355,0.7642973063393199,43.79100994646041,1.341595707677234,0.9684561112950786,0.8541165934016985,0.4138922,0.48458512947463933,0.28755086976594485,0.12634133023405514,0.4138922,0.9420504501736456,0.1079102265853502,0.5524959535467215,0.3937427617713952,294.04999999999995,303.31607966035347,30.16607966035349,60.43113800743735
9,2019,5,6,10,0,22.0,1,530.5598,1.5,2019-05-06 10:00:00,10,-30,126,16.402297769361116,0.8324850752258453,0.5872183297605215,33.6451319479993,0.8492169084323038,0.5562958101646751,31.873402083246724,1.341595707677234,1.1393057592397096,0.9940418147111045,0.5305598,0.5337399213474687,0.31348493043129927,0.21707486956870076,0.5305598,0.9802973385947457,0.21578149727424764,0.639642929981187,0.5169909007294615,295.15,307.31651919716666,34.16651919716668,78.51709058021967
