,Year,Month,Day,Hour,Minute,Real_Temperature(2m)[ÅãC],Real_Mean Sea Level Pressure[hpa],Real_Radiation[W/m2],Real_Wind Speed(10m)[m/s],Time,ts,É÷,n,É¬ the solar declination,cosÉ∆,É∆(radian),É∆(degree),cosÉ∆z,É∆z(radian),É∆z(degree),Gon(the extraterrestrial normal radiation)[kW/m2],Go(the extraterrestrial horizontal radiation)[kW/m2],_Go(the extraterrestrial horizontal radiation averaged over the time step )[kW/m2],the global horizontal radiation[kW/m2],kt(the clearness index),_Gd(the diffuse radiation)[kW/m2],_Gb(the beam radiation)[kW/m2],_G,Rb,Af,f,_Gt,temperature[K],Tc(the PV cell temperature)[K],Real_Tc(the PV cell temperature)[ÅãC],Real_Ppv(the output of the PV array)[Wh],Pwt[kW],Pwt from power curve[kW]
60,2019,6,19,12,0,27.4,1005.6,938.8964,4.2,2019-06-19 12:00:00,12,0,170,23.43241276357058,0.919935041110991,0.4028815553211903,23.083412763570596,0.9850595110744101,0.17307709783693914,9.916587236429443,1.3229293276523286,1.3031641166832009,1.007460026540592,0.9388964,0.9319440724849152,0.154917906,0.783978494,0.9388964,0.9338877811632035,0.7898269943724933,0.9137833441248533,0.8921238594588238,300.54999999999995,321.5446481592643,48.39464815926431,167.29239622355044,0.020153205173320966,0.0108911504
61,2019,6,19,13,0,27.1,1004.6,958.341,5.0,2019-06-19 13:00:00,13,15,170,23.43241276357058,0.8886715510191818,0.47635644111899733,27.293213619990652,0.9589434601441618,0.28754337691982,16.475021924445134,1.3229293276523286,1.2686144269851136,0.9391472793533622,0.958341,1.0204373915237803,0.15812626500000002,0.800214735,0.958341,0.926719444841497,0.7515194912737218,0.9137833441248533,0.9040401710855362,300.25,321.5250786928796,48.37507869287964,169.53606983918192,0.033588800996903534,0.020831039999999995
62,2019,6,19,14,0,26.5,1004.5,919.4518,5.0,2019-06-19 14:00:00,14,30,170,23.43241276357058,0.7970116359281504,0.648465307158815,37.15432526085467,0.8823750730654981,0.4899102939157392,28.069792181385548,1.3229293276523286,1.1673198621477137,0.8071771858075599,0.9194518,1.1390953760420177,0.151709547,0.767742253,0.9194518,0.9032571978254295,0.6197040312020956,0.9137833441248533,0.8473729319571626,299.65,319.59150966539187,46.44150966539189,159.75278557721464,0.03365270686949901,0.020831039999999995
63,2019,6,19,15,0,25.6,1004.7,705.5612,6.3,2019-06-19 15:00:00,15,45,170,23.43241276357058,0.6512017675761792,0.8616294083935376,49.3677286053037,0.7605723588825878,0.7066021013893483,40.48531820468474,1.3229293276523286,1.0061834793674875,0.6205432896874404,0.7055612,1.137005607385396,0.11641759800000001,0.589143602,0.7055612,0.8561996238371155,0.36558910888338814,0.9137833441248533,0.6215684483391354,298.75,313.37757748424764,40.22757748424766,119.17119004693232,0.05570533317346299,0.04299648589999999
64,2019,6,19,16,0,25.7,1004.4,569.4490000000001,4.9,2019-06-19 16:00:00,16,60,170,23.43241276357058,0.46117864752925436,1.091473244153843,62.53681034146726,0.6018359712784938,0.9249982734016672,52.99849712280376,1.3229293276523286,0.7961864568404439,0.3919643825864935,0.5694490000000001,1.4528080236329677,0.09395908500000003,0.47548991500000004,0.5694490000000001,0.7662862798804833,0.18637511095907933,0.9137833441248533,0.4587193650064121,298.84999999999997,309.6451957231509,36.495195723150914,88.83023202260998,0.03205246190795365,0.019434371100000007
65,2019,6,19,17,0,25.4,1004.3,455.5592,3.1,2019-06-19 17:00:00,17,75,170,23.43241276357058,0.23989203739052006,1.3285416872729434,76.11983158792893,0.416983532744151,1.1406723028463481,65.35570876056423,1.3229293276523286,0.5516397446153124,0.1370177392791437,0.4555592,3.3248191248572394,0.07516726800000001,0.380391932,0.4555592,0.5753033838334112,0.052120442562665764,0.9137833441248533,0.2953176414455683,298.54999999999995,305.49980849535234,32.34980849535236,57.81808626793615,0.0016884987174167765,0.0018272571000000036
66,2019,6,19,18,0,24.3,1004.3,258.3354,3.6,2019-06-19 18:00:00,18,90,170,23.43241276357058,0.0024222539475175506,1.5683740704786853,89.8612149361822,0.21861243148257709,1.3504040466400693,77.37245250986355,1.3229293276523286,0.28920879699768637,0.12692244781246068,0.2583354,2.035379906805089,0.042625341000000004,0.21571005899999998,0.2583354,0.011080129026013777,0.02737844870605031,0.9137833441248533,0.045482748342746154,297.45,298.52036067766596,25.370360677665985,9.068182149400128,0.010168457732421143,0.0052864255999999984
67,2019,6,19,19,0,23.7,1004.8,77.7784,3.8,2019-06-19 19:00:00,19,105,170,23.43241276357058,-0.23504752949548519,1.8080637940692161,103.59442449057688,0.020241330221002996,1.5505536141348752,88.84017799868474,1.3229293276523286,0.026777849380060125,0.3818690911198101,0.07777840000000001,0.20367817613077596,0.07635264136110671,0.0014257586388932986,0.07777840000000001,11.612257046801846,0.0005444531555904014,0.13539215579851693,0.08866686773882967,296.84999999999997,298.9366269541204,25.786626954120436,17.659068336013863,0.013592110858777292,0.006978458400000002
68,2019,6,19,20,0,23.1,1005.2,5.5556,3.4,2019-06-19 20:00:00,20,120,170,23.43241276357058,-0.4563341396342191,2.0446673213957807,117.15080802429728,-0.16461110831333936,1.7361600550182923,99.47464371174895,1.3229293276523286,0.2177688628450707,0.6104479982207575,0.0055556,0.009100857101985152,0.00555104953504558,4.550464954420318e-06,0.0055556,2.772195292954235,2.7778222223995936e-06,0.028619523741294922,0.005208893303001043,296.25,296.3725826223973,23.22258262239734,1.0442901578579085,0.006812530507726399,0.0037706015999999995
69,2019,6,19,21,0,22.9,1005.6,0.0,2.4,2019-06-19 21:00:00,21,135,170,23.43241276357058,-0.6463572596811441,2.2735970377045325,130.267514573916,-0.3233474959174336,1.900061217007678,108.86548855103078,1.3229293276523286,0.42776588537211446,0.7970818943408774,0.0,0.0,0.0,0.0,0.0,1.9989555133162085,0.0,0.0,0.0,296.04999999999995,296.04999999999995,22.899999999999977,0.0,0.0,0.0
