lons,lats,radiation FH0-1W/m2(avg),radiation FH1-2W/m2(avg),radiation FH2-3W/m2(avg),radiation FH3-4W/m2(avg),radiation FH4-5W/m2(avg),radiation FH5-6W/m2(avg),radiation FH6-7W/m2(avg),radiation FH7-8W/m2(avg),radiation FH8-9W/m2(avg),radiation FH9-10W/m2(avg),radiation FH10-11W/m2(avg),radiation FH11-12W/m2(avg),radiation FH12-13W/m2(avg),radiation FH13-14W/m2(avg),radiation FH14-15W/m2(avg)
129.44,34.1,515.23,627.93,706.67,723.78,758.44,621.6,507.28,399.03,248.63,87.25,3.34,0.0,0.0,0.0,0.0
129.5,34.1,516.23,638.93,701.17,724.78,754.44,612.35,509.78,401.53,248.38,86.75,3.22,0.0,0.0,0.0,0.0
129.56,34.1,513.98,642.93,692.17,723.03,744.94,606.85,514.78,400.78,247.88,85.5,3.09,0.0,0.0,0.0,0.0
129.62,34.1,511.73,643.18,677.67,720.03,730.44,602.1,518.53,399.03,246.63,84.5,3.0,0.0,0.0,0.0,0.0
129.69,34.1,506.48,640.18,665.67,718.78,713.19,600.6,518.78,399.78,244.25,82.88,2.88,0.0,0.0,0.0,0.0
129.75,34.1,499.98,635.43,657.42,719.28,695.94,600.35,517.78,401.78,241.88,80.5,2.72,0.0,0.0,0.0,0.0
129.81,34.1,493.48,631.43,654.42,715.28,681.69,600.85,517.28,404.03,239.63,78.25,2.59,0.0,0.0,0.0,0.0
129.88,34.1,486.98,627.93,653.42,705.28,672.44,601.85,517.78,404.53,236.63,76.25,2.41,0.0,0.0,0.0,0.0
129.94,34.1,479.23,616.18,656.17,695.53,667.94,600.35,517.28,402.53,232.38,72.88,2.31,0.0,0.0,0.0,0.0
130.0,34.1,470.48,596.43,662.67,684.53,670.19,595.6,517.78,398.53,227.75,70.75,2.22,0.0,0.0,0.0,0.0
130.06,34.1,458.98,573.43,663.42,675.03,673.19,589.85,517.78,394.78,223.25,68.25,2.12,0.0,0.0,0.0,0.0
130.12,34.1,446.73,551.68,660.42,671.78,678.94,584.1,518.53,391.78,218.25,66.0,2.03,0.0,0.0,0.0,0.0
130.19,34.1,434.73,537.18,654.92,674.28,684.69,580.85,520.28,389.53,213.38,63.88,1.94,0.0,0.0,0.0,0.0
130.25,34.1,426.48,529.68,650.42,683.03,692.19,583.85,523.53,389.28,212.63,62.38,1.88,0.0,0.0,0.0,0.0
130.31,34.1,422.23,529.93,646.92,691.03,700.69,595.35,527.28,391.03,213.25,62.25,1.81,0.0,0.0,0.0,0.0
130.38,34.1,418.73,535.18,643.92,695.78,708.69,611.6,529.53,395.53,217.25,63.38,1.81,0.0,0.0,0.0,0.0
130.44,34.1,421.98,539.43,644.17,697.78,716.19,627.6,530.03,402.03,224.13,65.0,1.81,0.0,0.0,0.0,0.0
130.5,34.1,432.23,545.93,649.92,699.53,723.19,640.85,528.03,409.03,233.0,66.88,1.84,0.0,0.0,0.0,0.0
130.56,34.1,443.73,560.43,665.42,705.78,731.19,651.6,525.28,414.28,237.13,68.25,1.84,0.0,0.0,0.0,0.0
130.62,34.1,461.23,584.68,688.17,718.03,739.19,657.6,525.03,414.53,235.88,69.0,1.84,0.0,0.0,0.0,0.0
130.69,34.1,484.48,607.68,708.92,733.28,742.69,659.85,530.03,412.78,232.0,69.38,1.81,0.0,0.0,0.0,0.0
130.75,34.1,501.98,619.18,720.67,747.03,742.94,662.6,538.78,413.03,230.25,69.5,1.78,0.0,0.0,0.0,0.0
130.81,34.1,507.23,626.93,728.42,759.53,739.19,660.85,547.78,415.03,231.63,70.25,1.78,0.0,0.0,0.0,0.0
130.88,34.1,521.98,648.93,754.17,780.28,750.69,664.85,555.28,412.78,232.25,70.62,1.72,0.0,0.0,0.0,0.0
130.94,34.1,544.73,670.18,773.92,789.78,764.69,672.1,563.28,406.53,231.63,70.75,1.62,0.0,0.0,0.0,0.0
131.0,34.1,537.48,659.43,756.67,764.28,748.94,659.6,551.78,392.28,225.13,68.38,1.53,0.0,0.0,0.0,0.0
131.06,34.1,527.48,648.43,730.17,740.78,737.94,646.35,542.03,385.28,222.13,66.25,1.44,0.0,0.0,0.0,0.0
131.12,34.1,531.98,651.43,722.92,731.03,730.94,639.85,532.78,380.03,218.88,64.5,1.38,0.0,0.0,0.0,0.0
131.19,34.1,542.73,659.68,722.17,725.53,724.19,631.6,519.28,372.03,213.38,62.12,1.28,0.0,0.0,0.0,0.0
131.25,34.1,550.48,663.18,713.92,716.28,712.44,617.35,503.78,362.78,206.75,59.38,1.19,0.0,0.0,0.0,0.0
131.31,34.1,552.98,661.43,706.17,701.53,695.19,600.85,491.03,355.03,201.88,57.0,1.06,0.0,0.0,0.0,0.0
131.38,34.1,552.98,659.68,700.67,679.78,672.69,583.6,481.28,351.28,197.75,55.62,1.0,0.0,0.0,0.0,0.0
131.44,34.1,564.23,661.68,698.67,670.03,655.69,571.35,476.03,349.53,196.5,55.0,0.94,0.0,0.0,0.0,0.0
131.5,34.1,579.73,663.18,700.42,658.03,643.69,565.35,473.78,351.03,197.38,53.88,0.88,0.0,0.0,0.0,0.0
131.56,34.1,583.48,661.93,699.92,648.03,633.44,560.1,473.53,350.78,196.75,53.0,0.81,0.0,0.0,0.0,0.0
131.62,34.1,579.73,652.93,691.67,641.28,615.69,550.1,472.53,348.03,194.75,52.38,0.75,0.0,0.0,0.0,0.0
131.69,34.1,571.98,640.93,680.42,629.53,584.44,528.35,467.03,343.78,191.0,51.25,0.69,0.0,0.0,0.0,0.0
129.44,34.05,499.98,627.43,712.92,710.28,748.94,623.1,501.28,396.53,244.13,86.38,3.25,0.0,0.0,0.0,0.0
129.5,34.05,500.73,639.43,710.42,709.78,746.44,613.35,503.78,400.03,243.0,85.38,3.12,0.0,0.0,0.0,0.0
129.56,34.05,503.98,649.93,703.92,710.03,737.19,604.85,509.53,397.78,241.88,84.5,3.03,0.0,0.0,0.0,0.0
129.62,34.05,502.48,651.43,692.92,708.78,720.19,595.85,513.53,393.03,240.0,83.0,2.91,0.0,0.0,0.0,0.0
129.69,34.05,499.23,648.18,678.92,708.28,698.44,591.6,510.53,389.78,236.88,81.12,2.78,0.0,0.0,0.0,0.0
129.75,34.05,495.98,642.68,666.42,709.03,675.44,586.85,503.78,388.53,233.0,78.62,2.66,0.0,0.0,0.0,0.0
129.81,34.05,494.23,634.43,657.92,709.53,652.94,580.85,497.78,387.78,228.63,76.5,2.47,0.0,0.0,0.0,0.0
129.88,34.05,493.48,625.43,655.92,708.53,638.44,573.35,493.03,385.53,223.88,73.62,2.31,0.0,0.0,0.0,0.0
129.94,34.05,491.73,618.93,659.17,701.78,631.19,565.1,489.28,382.53,219.0,71.25,2.19,0.0,0.0,0.0,0.0
130.0,34.05,487.98,607.43,662.42,689.78,630.19,557.85,487.28,379.03,214.5,69.38,2.12,0.0,0.0,0.0,0.0
130.06,34.05,479.23,593.18,665.67,676.03,633.94,551.85,487.03,375.53,210.5,66.88,2.03,0.0,0.0,0.0,0.0
130.12,34.05,465.73,575.93,669.17,664.03,638.69,546.35,489.53,373.78,207.0,65.0,1.97,0.0,0.0,0.0,0.0
130.19,34.05,449.23,561.18,664.67,655.28,645.94,545.1,496.03,374.03,204.13,62.5,1.91,0.0,0.0,0.0,0.0
130.25,34.05,433.23,547.43,650.92,654.28,655.69,549.85,506.03,377.03,202.63,60.75,1.84,0.0,0.0,0.0,0.0
130.31,34.05,419.48,534.93,639.17,668.28,669.19,566.1,518.53,382.53,206.0,60.0,1.78,0.0,0.0,0.0,0.0
130.38,34.05,411.98,532.93,636.17,684.28,683.69,593.35,527.28,389.03,213.63,60.75,1.75,0.0,0.0,0.0,0.0
130.44,34.05,411.48,537.68,637.67,692.78,697.44,619.85,531.28,396.78,221.38,62.25,1.75,0.0,0.0,0.0,0.0
130.5,34.05,416.23,542.68,641.92,697.78,709.69,640.35,531.28,405.03,228.75,64.0,1.75,0.0,0.0,0.0,0.0
130.56,34.05,421.48,540.93,649.92,703.53,721.19,652.1,528.53,413.03,233.63,65.62,1.75,0.0,0.0,0.0,0.0
130.62,34.05,428.98,550.93,675.42,714.53,732.44,658.35,525.03,416.78,237.13,67.0,1.75,0.0,0.0,0.0,0.0
130.69,34.05,443.23,580.18,711.42,734.03,736.44,659.1,525.28,414.53,235.25,68.12,1.75,0.0,0.0,0.0,0.0
130.75,34.05,469.23,608.18,741.67,756.28,735.19,663.35,533.28,412.28,231.38,68.62,1.72,0.0,0.0,0.0,0.0
130.81,34.05,499.23,630.43,763.67,776.78,741.94,669.6,547.53,414.53,232.88,69.75,1.72,0.0,0.0,0.0,0.0
130.88,34.05,527.23,655.68,780.67,793.28,760.69,676.1,561.78,416.28,238.5,71.25,1.69,0.0,0.0,0.0,0.0
130.94,34.05,545.98,667.68,779.92,795.28,775.19,675.6,565.03,410.78,237.0,70.88,1.59,0.0,0.0,0.0,0.0
131.0,34.05,540.48,655.68,753.92,768.78,763.19,659.85,556.53,401.78,234.25,69.5,1.5,0.0,0.0,0.0,0.0
131.06,34.05,534.48,649.43,727.92,745.53,747.44,647.6,548.28,397.03,232.75,68.5,1.44,0.0,0.0,0.0,0.0
131.12,34.05,542.48,656.43,723.42,740.03,740.69,641.85,539.53,391.28,229.5,67.0,1.38,0.0,0.0,0.0,0.0
131.19,34.05,553.98,666.93,725.42,740.78,735.94,638.6,529.28,383.28,224.5,65.62,1.28,0.0,0.0,0.0,0.0
131.25,34.05,558.48,667.43,720.17,732.03,722.94,626.35,514.53,372.28,216.88,63.25,1.19,0.0,0.0,0.0,0.0
131.31,34.05,557.23,660.93,706.92,714.78,699.94,607.35,497.78,362.28,208.88,61.75,1.09,0.0,0.0,0.0,0.0
131.38,34.05,557.73,654.43,693.17,694.78,673.94,585.35,484.28,356.03,204.25,60.25,1.0,0.0,0.0,0.0,0.0
131.44,34.05,560.98,655.18,690.42,682.78,654.44,568.6,475.03,352.03,202.13,58.75,0.94,0.0,0.0,0.0,0.0
131.5,34.05,561.48,657.68,694.17,668.78,637.44,557.6,469.03,349.03,201.13,56.62,0.84,0.0,0.0,0.0,0.0
131.56,34.05,561.23,658.43,693.17,657.03,622.94,548.85,465.03,346.53,198.25,55.38,0.78,0.0,0.0,0.0,0.0
131.62,34.05,552.23,649.43,682.92,644.03,598.94,536.6,456.78,340.78,193.63,54.5,0.72,0.0,0.0,0.0,0.0
131.69,34.05,541.48,637.18,672.42,634.03,574.44,527.6,450.53,336.78,189.13,53.75,0.66,0.0,0.0,0.0,0.0
129.44,34.0,488.23,621.43,714.67,709.03,736.19,620.6,502.28,396.78,240.25,84.38,3.19,0.0,0.0,0.0,0.0
129.5,34.0,487.48,634.93,709.92,707.03,735.69,610.35,502.53,398.03,238.0,83.38,3.03,0.0,0.0,0.0,0.0
129.56,34.0,487.48,648.18,707.17,704.28,728.94,597.35,501.78,394.78,235.75,82.75,2.94,0.0,0.0,0.0,0.0
129.62,34.0,487.73,650.18,700.67,703.28,714.44,582.6,498.28,388.03,232.13,81.25,2.81,0.0,0.0,0.0,0.0
129.69,34.0,486.73,649.43,685.92,702.28,693.19,567.1,489.78,381.28,226.88,78.88,2.69,0.0,0.0,0.0,0.0
129.75,34.0,484.48,645.18,670.92,701.28,668.69,551.85,480.03,375.53,220.5,76.0,2.56,0.0,0.0,0.0,0.0
129.81,34.0,483.98,635.43,657.67,703.53,645.94,538.35,471.53,369.78,214.63,73.12,2.38,0.0,0.0,0.0,0.0
129.88,34.0,483.98,627.93,652.67,707.28,628.69,531.6,465.03,364.28,210.25,71.38,2.22,0.0,0.0,0.0,0.0
129.94,34.0,485.23,625.68,651.67,708.53,617.44,526.85,458.78,361.03,207.0,69.38,2.12,0.0,0.0,0.0,0.0
130.0,34.0,488.23,618.93,654.92,704.53,610.94,523.1,455.28,360.03,204.88,67.88,2.03,0.0,0.0,0.0,0.0
130.06,34.0,489.48,610.93,658.92,693.78,610.19,519.85,456.78,360.28,203.0,66.75,1.97,0.0,0.0,0.0,0.0
130.12,34.0,480.48,596.68,662.92,677.78,612.44,517.6,464.03,361.53,201.25,65.75,1.94,0.0,0.0,0.0,0.0
130.19,34.0,464.98,575.18,657.67,659.28,616.94,519.85,474.03,363.28,199.75,64.25,1.91,0.0,0.0,0.0,0.0
130.25,34.0,443.73,549.68,645.92,648.28,624.94,525.35,487.53,367.03,199.25,61.88,1.88,0.0,0.0,0.0,0.0
130.31,34.0,427.98,534.93,633.42,649.03,638.19,542.35,505.78,374.53,202.13,60.5,1.78,0.0,0.0,0.0,0.0
130.38,34.0,416.98,531.18,624.67,667.78,656.69,573.1,520.78,383.53,207.88,59.88,1.75,0.0,0.0,0.0,0.0
130.44,34.0,413.73,532.43,624.92,689.28,677.44,608.1,528.28,391.78,216.38,60.88,1.72,0.0,0.0,0.0,0.0
130.5,34.0,416.23,533.18,636.92,703.78,694.69,637.35,531.03,400.28,225.25,62.75,1.69,0.0,0.0,0.0,0.0
130.56,34.0,414.23,522.68,651.17,712.03,706.69,653.1,530.78,408.28,229.25,64.38,1.69,0.0,0.0,0.0,0.0
130.62,34.0,408.98,515.93,675.42,723.78,717.19,657.85,527.78,415.28,232.5,65.88,1.69,0.0,0.0,0.0,0.0
130.69,34.0,407.98,537.93,711.17,741.53,724.19,655.6,526.53,418.03,235.25,67.0,1.66,0.0,0.0,0.0,0.0
130.75,34.0,430.48,580.43,747.17,761.28,723.19,656.85,532.53,414.53,233.88,67.88,1.66,0.0,0.0,0.0,0.0
130.81,34.0,471.73,621.18,769.42,778.53,733.44,665.85,548.03,414.28,234.25,69.25,1.66,0.0,0.0,0.0,0.0
130.88,34.0,510.48,654.18,781.17,793.03,754.94,676.6,565.53,417.28,238.88,71.62,1.66,0.0,0.0,0.0,0.0
130.94,34.0,533.98,668.68,773.92,793.53,769.44,674.85,568.53,414.03,238.38,71.75,1.56,0.0,0.0,0.0,0.0
131.0,34.0,530.73,659.43,744.42,772.28,762.19,659.35,563.78,409.03,238.25,71.62,1.47,0.0,0.0,0.0,0.0
131.06,34.0,527.23,658.18,721.92,752.28,749.94,649.35,558.78,407.53,238.88,71.75,1.44,0.0,0.0,0.0,0.0
131.12,34.0,540.73,663.93,718.92,748.28,743.44,645.85,553.28,404.28,236.88,71.25,1.38,0.0,0.0,0.0,0.0
131.19,34.0,551.48,669.93,719.17,750.53,740.44,646.35,544.28,401.28,233.38,69.75,1.28,0.0,0.0,0.0,0.0
131.25,34.0,553.23,671.43,717.92,747.53,732.44,643.1,533.03,395.03,229.25,68.38,1.22,0.0,0.0,0.0,0.0
131.31,34.0,550.23,662.93,705.67,733.53,710.19,627.1,518.28,383.53,222.38,67.0,1.12,0.0,0.0,0.0,0.0
131.38,34.0,545.23,655.18,692.92,719.28,682.69,605.6,506.53,376.28,218.5,65.75,1.06,0.0,0.0,0.0,0.0
131.44,34.0,544.48,653.43,690.42,709.53,658.94,587.1,496.78,371.03,215.38,64.12,1.0,0.0,0.0,0.0,0.0
131.5,34.0,542.73,653.43,691.17,696.28,634.44,568.35,485.78,363.03,211.88,62.75,0.91,0.0,0.0,0.0,0.0
131.56,34.0,539.23,652.93,690.67,678.53,612.44,550.1,473.28,352.53,204.88,60.38,0.81,0.0,0.0,0.0,0.0
131.62,34.0,532.48,648.68,686.67,661.53,587.44,534.6,460.78,345.28,199.13,58.38,0.75,0.0,0.0,0.0,0.0
131.69,34.0,524.23,638.93,679.67,652.53,568.69,526.85,452.78,342.28,194.25,57.12,0.69,0.0,0.0,0.0,0.0
129.44,33.95,470.23,605.43,713.17,714.78,727.44,605.85,491.53,394.53,235.38,82.0,3.16,0.0,0.0,0.0,0.0
129.5,33.95,468.23,620.68,711.17,711.03,723.44,595.35,486.53,394.28,232.38,81.12,3.0,0.0,0.0,0.0,0.0
129.56,33.95,467.73,636.18,709.42,709.53,718.94,580.35,481.53,389.78,228.88,80.12,2.84,0.0,0.0,0.0,0.0
129.62,33.95,468.73,644.18,706.67,709.53,710.44,561.35,477.78,382.53,224.25,78.62,2.75,0.0,0.0,0.0,0.0
129.69,33.95,468.98,647.43,698.67,708.28,694.69,537.85,471.28,373.78,218.0,76.5,2.62,0.0,0.0,0.0,0.0
129.75,33.95,466.48,643.68,685.42,705.28,672.69,518.85,463.03,364.28,211.25,74.12,2.47,0.0,0.0,0.0,0.0
129.81,33.95,463.98,630.43,670.67,703.53,652.44,509.35,455.28,355.78,205.63,72.0,2.28,0.0,0.0,0.0,0.0
129.88,33.95,465.48,623.18,657.92,706.53,635.44,509.85,448.28,349.28,202.38,70.12,2.16,0.0,0.0,0.0,0.0
129.94,33.95,472.48,619.18,651.67,712.28,621.94,512.1,439.53,346.03,201.0,69.0,2.06,0.0,0.0,0.0,0.0
130.0,33.95,484.73,614.68,648.67,715.03,611.69,511.85,435.28,346.78,200.75,67.75,1.97,0.0,0.0,0.0,0.0
130.06,33.95,500.48,613.93,652.17,713.28,604.69,511.35,438.03,350.78,201.25,67.25,1.94,0.0,0.0,0.0,0.0
130.12,33.95,503.98,612.18,658.67,702.53,600.44,511.6,448.03,356.28,201.38,67.5,1.91,0.0,0.0,0.0,0.0
130.19,33.95,497.23,596.68,658.42,682.53,600.44,513.1,462.03,360.78,201.0,66.88,1.91,0.0,0.0,0.0,0.0
130.25,33.95,481.73,575.68,643.42,662.03,606.19,518.6,478.28,365.03,200.75,65.75,1.91,0.0,0.0,0.0,0.0
130.31,33.95,458.23,550.43,622.92,650.03,615.44,533.1,496.28,370.53,201.63,63.0,1.84,0.0,0.0,0.0,0.0
130.38,33.95,433.73,526.68,605.92,658.03,629.94,557.85,511.28,377.53,205.25,61.25,1.78,0.0,0.0,0.0,0.0
130.44,33.95,418.48,517.43,609.92,682.03,651.94,592.1,518.53,386.53,213.0,61.38,1.72,0.0,0.0,0.0,0.0
130.5,33.95,412.48,515.43,632.42,704.78,674.19,626.85,523.28,395.53,222.25,63.0,1.69,0.0,0.0,0.0,0.0
130.56,33.95,407.73,509.43,653.67,716.28,689.69,647.6,527.28,402.03,226.88,65.12,1.66,0.0,0.0,0.0,0.0
130.62,33.95,402.73,500.68,674.92,723.53,697.94,653.1,527.53,405.78,228.63,66.0,1.62,0.0,0.0,0.0,0.0
130.69,33.95,401.23,510.68,698.92,732.03,705.94,647.6,528.03,411.28,228.75,66.12,1.59,0.0,0.0,0.0,0.0
130.75,33.95,415.73,554.68,727.42,747.78,710.44,644.35,530.03,411.28,231.5,67.12,1.59,0.0,0.0,0.0,0.0
130.81,33.95,453.73,611.43,756.67,768.78,718.94,650.35,544.53,410.28,232.75,69.12,1.59,0.0,0.0,0.0,0.0
130.88,33.95,494.73,653.93,773.42,786.28,736.69,660.85,561.03,413.78,237.38,72.25,1.56,0.0,0.0,0.0,0.0
130.94,33.95,523.23,673.43,768.67,787.03,747.94,661.6,567.28,413.53,237.5,73.12,1.5,0.0,0.0,0.0,0.0
131.0,33.95,527.23,671.93,742.67,770.28,744.19,654.1,567.03,410.53,237.38,73.25,1.44,0.0,0.0,0.0,0.0
131.06,33.95,528.98,671.43,722.17,756.28,738.44,652.1,567.53,409.78,238.88,73.62,1.41,0.0,0.0,0.0,0.0
131.12,33.95,541.48,674.68,719.17,755.78,741.19,652.1,565.78,408.28,239.0,73.88,1.38,0.0,0.0,0.0,0.0
131.19,33.95,546.23,673.43,716.42,759.53,737.94,653.6,559.53,405.28,234.88,71.75,1.28,0.0,0.0,0.0,0.0
131.25,33.95,542.48,672.43,710.67,755.53,729.94,653.85,552.03,404.03,232.63,70.62,1.19,0.0,0.0,0.0,0.0
131.31,33.95,534.98,666.18,702.17,751.03,714.94,649.35,544.53,403.03,232.13,70.62,1.16,0.0,0.0,0.0,0.0
131.38,33.95,531.73,659.68,694.92,744.53,694.69,637.35,537.78,402.03,232.0,71.12,1.12,0.0,0.0,0.0,0.0
131.44,33.95,531.73,656.43,693.17,737.03,672.44,621.6,530.28,398.03,230.0,70.5,1.06,0.0,0.0,0.0,0.0
131.5,33.95,528.48,654.18,695.67,724.53,646.19,605.1,520.53,389.28,225.38,69.25,1.0,0.0,0.0,0.0,0.0
131.56,33.95,522.73,650.68,699.42,706.78,620.94,587.85,510.28,379.53,218.63,67.25,0.91,0.0,0.0,0.0,0.0
131.62,33.95,516.98,650.43,700.17,692.53,599.44,569.6,501.28,372.28,211.5,64.62,0.84,0.0,0.0,0.0,0.0
131.69,33.95,510.23,642.93,695.17,677.53,576.69,551.1,489.03,364.28,204.25,61.5,0.78,0.0,0.0,0.0,0.0
129.44,33.9,456.73,581.93,705.67,722.53,721.44,581.85,467.28,389.53,228.88,79.38,3.03,0.0,0.0,0.0,0.0
129.5,33.9,450.48,597.68,707.42,719.78,715.94,566.6,461.53,387.78,225.63,78.5,2.97,0.0,0.0,0.0,0.0
129.56,33.9,448.73,613.18,705.17,717.03,711.44,549.6,459.28,382.03,221.63,77.25,2.78,0.0,0.0,0.0,0.0
129.62,33.9,452.48,628.68,705.42,715.28,707.44,531.85,459.53,373.03,217.0,75.88,2.66,0.0,0.0,0.0,0.0
129.69,33.9,459.98,639.18,702.42,715.53,697.69,513.6,458.28,364.78,211.63,74.62,2.53,0.0,0.0,0.0,0.0
129.75,33.9,460.98,639.93,697.17,717.03,678.19,500.6,455.03,355.53,206.25,72.75,2.38,0.0,0.0,0.0,0.0
129.81,33.9,456.98,630.93,680.42,712.28,656.19,498.6,448.53,346.53,202.63,71.38,2.19,0.0,0.0,0.0,0.0
129.88,33.9,460.48,620.93,665.42,710.28,637.69,504.1,440.78,340.53,200.75,69.88,2.06,0.0,0.0,0.0,0.0
129.94,33.9,471.23,612.68,654.42,712.28,623.94,512.6,432.28,339.53,200.63,68.38,2.0,0.0,0.0,0.0,0.0
130.0,33.9,486.73,607.93,648.42,718.28,613.94,515.35,430.53,343.28,201.38,67.25,1.94,0.0,0.0,0.0,0.0
130.06,33.9,502.73,604.93,647.92,722.78,605.69,516.35,435.53,349.28,202.63,66.88,1.91,0.0,0.0,0.0,0.0
130.12,33.9,508.73,604.68,650.42,720.28,603.19,519.35,447.03,357.28,204.25,67.38,1.91,0.0,0.0,0.0,0.0
130.19,33.9,507.98,604.68,649.92,707.53,604.19,527.1,462.53,365.03,206.13,68.38,1.91,0.0,0.0,0.0,0.0
130.25,33.9,498.48,596.43,641.42,685.53,607.94,537.6,480.03,369.53,206.75,69.12,1.91,0.0,0.0,0.0,0.0
130.31,33.9,472.23,572.43,625.67,664.28,608.69,546.1,495.28,372.03,206.63,67.75,1.88,0.0,0.0,0.0,0.0
130.38,33.9,441.98,543.93,611.92,654.53,610.44,554.85,503.03,373.78,206.63,65.38,1.81,0.0,0.0,0.0,0.0
130.44,33.9,418.48,522.68,610.92,668.53,622.19,575.1,504.53,379.78,210.13,64.38,1.75,0.0,0.0,0.0,0.0
130.5,33.9,409.23,515.68,630.17,695.28,644.94,605.35,509.53,390.03,218.25,65.25,1.69,0.0,0.0,0.0,0.0
130.56,33.9,406.98,512.93,645.92,704.28,662.19,623.35,516.28,395.78,223.5,66.88,1.66,0.0,0.0,0.0,0.0
130.62,33.9,407.98,506.43,651.92,703.53,671.19,629.35,519.53,394.53,222.88,66.88,1.59,0.0,0.0,0.0,0.0
130.69,33.9,415.23,506.93,655.92,702.53,674.94,625.85,518.53,391.53,218.63,64.38,1.47,0.0,0.0,0.0,0.0
130.75,33.9,424.48,541.43,678.42,716.28,685.69,619.85,519.28,398.78,224.25,66.0,1.47,0.0,0.0,0.0,0.0
130.81,33.9,452.23,599.68,720.92,739.28,694.69,626.1,531.78,399.78,228.38,69.25,1.5,0.0,0.0,0.0,0.0
130.88,33.9,482.73,651.43,756.17,762.78,709.44,635.85,547.28,405.53,233.75,73.62,1.5,0.0,0.0,0.0,0.0
130.94,33.9,508.48,674.93,761.92,765.78,712.94,635.35,553.28,407.78,235.13,73.88,1.47,0.0,0.0,0.0,0.0
131.0,33.9,518.73,673.68,741.67,753.03,709.69,631.85,556.03,406.53,235.38,73.75,1.44,0.0,0.0,0.0,0.0
131.06,33.9,532.23,672.93,725.67,746.78,710.69,638.1,562.78,407.53,237.38,73.88,1.38,0.0,0.0,0.0,0.0
131.12,33.9,545.98,675.93,719.92,751.53,718.44,653.6,569.78,407.28,238.25,74.38,1.34,0.0,0.0,0.0,0.0
131.19,33.9,548.73,673.68,713.42,759.53,723.69,658.1,569.78,408.03,238.25,74.5,1.31,0.0,0.0,0.0,0.0
131.25,33.9,539.73,669.18,706.67,759.53,719.94,660.6,565.78,407.78,236.5,73.62,1.25,0.0,0.0,0.0,0.0
131.31,33.9,532.23,665.18,698.17,758.28,711.19,660.85,563.03,409.78,236.63,73.75,1.22,0.0,0.0,0.0,0.0
131.38,33.9,528.23,662.93,691.42,755.53,698.69,655.1,559.03,410.03,236.0,73.62,1.16,0.0,0.0,0.0,0.0
131.44,33.9,526.23,658.18,687.42,748.53,682.19,642.85,553.28,408.78,234.88,73.12,1.09,0.0,0.0,0.0,0.0
131.5,33.9,521.73,650.43,688.92,734.28,660.44,628.1,546.03,406.28,232.38,72.25,1.03,0.0,0.0,0.0,0.0
131.56,33.9,515.48,643.18,698.67,716.78,638.94,615.85,537.28,399.28,227.88,70.62,0.97,0.0,0.0,0.0,0.0
131.62,33.9,509.23,642.43,710.42,700.03,620.94,606.1,529.28,386.28,219.88,67.62,0.91,0.0,0.0,0.0,0.0
131.69,33.9,504.73,637.68,710.17,685.78,600.44,586.1,520.03,372.53,208.88,63.62,0.84,0.0,0.0,0.0,0.0
129.44,33.85,442.98,562.43,686.92,721.28,715.19,558.35,444.03,381.28,219.38,76.0,2.91,0.0,0.0,0.0,0.0
129.5,33.85,437.48,574.18,691.67,722.28,710.19,540.35,441.03,377.28,216.75,75.25,2.84,0.0,0.0,0.0,0.0
129.56,33.85,436.73,587.18,694.17,720.78,705.94,522.85,443.28,369.78,213.63,74.38,2.72,0.0,0.0,0.0,0.0
129.62,33.85,441.23,603.43,695.42,720.53,701.94,510.6,450.53,360.78,210.25,73.5,2.56,0.0,0.0,0.0,0.0
129.69,33.85,447.48,618.43,695.17,723.53,693.69,500.1,455.53,351.53,205.63,71.75,2.38,0.0,0.0,0.0,0.0
129.75,33.85,452.73,626.18,691.92,726.78,675.19,492.35,453.78,344.28,203.63,71.88,2.19,0.0,0.0,0.0,0.0
129.81,33.85,454.98,624.93,681.42,724.28,650.44,491.85,448.03,338.28,201.63,70.62,2.06,0.0,0.0,0.0,0.0
129.88,33.85,463.73,617.93,668.67,720.78,628.94,502.35,440.78,336.53,201.0,69.0,2.0,0.0,0.0,0.0,0.0
129.94,33.85,475.98,612.68,660.42,719.78,613.94,516.1,435.03,338.78,202.0,67.25,1.94,0.0,0.0,0.0,0.0
130.0,33.85,487.48,608.18,655.17,722.53,604.19,522.85,435.78,345.53,202.63,66.0,1.91,0.0,0.0,0.0,0.0
130.06,33.85,499.23,604.43,648.92,727.03,599.69,526.6,442.53,353.53,203.13,65.75,1.88,0.0,0.0,0.0,0.0
130.12,33.85,505.98,604.18,648.42,730.53,604.19,532.6,454.78,362.03,204.38,66.0,1.88,0.0,0.0,0.0,0.0
130.19,33.85,504.23,606.68,656.67,727.28,612.69,542.85,472.28,369.53,206.13,66.75,1.91,0.0,0.0,0.0,0.0
130.25,33.85,497.48,608.43,659.17,709.53,621.44,556.85,491.53,375.28,208.5,68.62,1.91,0.0,0.0,0.0,0.0
130.31,33.85,481.98,598.68,649.42,682.03,621.19,569.35,503.03,375.78,210.5,70.38,1.88,0.0,0.0,0.0,0.0
130.38,33.85,454.98,569.93,629.67,657.78,607.94,568.6,500.53,371.53,209.5,70.12,1.84,0.0,0.0,0.0,0.0
130.44,33.85,426.98,534.93,615.92,658.28,599.94,567.85,491.53,370.78,209.25,69.5,1.78,0.0,0.0,0.0,0.0
