,Year,Month,Day,Hour,Minute,Real_Temperature(2m)[ÅãC],Real_Mean Sea Level Pressure[hpa],Real_Radiation[W/m2],Real_Wind Speed(10m)[m/s],Time,ts,É÷,n,É¬ the solar declination,cosÉ∆,É∆(radian),É∆(degree),cosÉ∆z,É∆z(radian),É∆z(degree),Gon(the extraterrestrial normal radiation)[kW/m2],Go(the extraterrestrial horizontal radiation)[kW/m2],_Go(the extraterrestrial horizontal radiation averaged over the time step )[kW/m2],the global horizontal radiation[kW/m2],kt(the clearness index),_Gd(the diffuse radiation)[kW/m2],_Gb(the beam radiation)[kW/m2],_G,Rb,Af,f,_Gt,temperature[K],Tc(the PV cell temperature)[K],Real_Tc(the PV cell temperature)[ÅãC],Real_Ppv(the output of the PV array)[Wh],Pwt[kW],Pwt from power curve[kW]
3753,2017,6,6,9,0,24.4,1016.0,333.36,2.7,2017-06-06 09:00:00,9,-45,157,22.64660153800634,0.6549202425870351,0.8567192525293867,49.08639739753644,0.7568046245906097,0.7123857228195137,40.81669530293464,1.3261658300108092,1.0036484331262248,0.8136952531758376,0.33336,0.4096865487403325,0.27646650922970883,0.056893490770291155,0.33336,0.8653755821607346,0.04629396337638924,0.4131184079236318,0.3103813150169471,297.54999999999995,304.8543069467321,31.704306946732117,60.87045061785512,0.0,0.0
3754,2017,6,6,10,0,26.1,1015.8,386.142,1.4,2017-06-06 10:00:00,10,-30,157,22.64660153800634,0.8015830966285954,0.6408579538252498,36.71845602157661,0.8793198829471445,0.4963641371783056,28.439570161969545,1.3261658300108092,1.1661239824136074,0.9467621190717047,0.386142,0.4078553548156428,0.3213314242715649,0.06481057572843507,0.386142,0.9115944176560582,0.06136019801491038,0.40968439218647734,0.3631718168797032,299.25,307.79664342390237,34.64664342390239,70.67327286828197,0.0,0.0
3755,2017,6,6,11,0,26.0,1015.7,525.0419999999999,3.5,2017-06-06 11:00:00,11,-15,157,22.64660153800634,0.893779220940342,0.46509442134057694,26.647947417894304,0.9563361940188218,0.29659842622703403,16.993838033031356,1.3261658300108092,1.2682603825103491,1.0156425974036118,0.5250419999999999,0.516955473650098,0.32935357638827517,0.19568842361172473,0.5250419999999999,0.9345868393670265,0.1987494988388304,0.6104998261224222,0.4985362590379485,299.15,310.88221996269306,37.73221996269308,96.22317746455191,0.008521200761687293,0.0045064875
3756,2017,6,6,12,0,25.6,1015.2,452.814,3.1,2017-06-06 12:00:00,12,0,157,22.64660153800634,0.9252256020117287,0.389166562135962,22.29760153800633,0.9826050234815786,0.18679209102216685,10.702398461993676,1.3261658300108092,1.3030972065382385,1.0156425974036118,0.452814,0.44583990584638084,0.34809739145042207,0.10471660854957793,0.452814,0.9416047953158814,0.1063546482985906,0.4808923420759558,0.42990029877759756,298.75,308.8669870312328,35.716987031232804,83.42172357398024,0.0017056819082946419,0.0018272571000000036
3757,2017,6,6,13,0,25.4,1014.7,338.916,2.5,2017-06-06 13:00:00,13,15,157,22.64660153800634,0.893779220940342,0.46509442134057694,26.647947417894304,0.9563361940188218,0.29659842622703403,16.993838033031356,1.3261658300108092,1.2682603825103491,0.9467621190717047,0.338916,0.35797376465833397,0.3047991406754033,0.03411685932459668,0.338916,0.9345868393670265,0.03230055003022641,0.31727692395545076,0.3196866638340671,298.54999999999995,306.0732928222283,32.92329282222835,62.49472315944715,0.0,0.0
3758,2017,6,6,14,0,25.3,1014.1,252.798,2.0,2017-06-06 14:00:00,14,30,157,22.64660153800634,0.8015830966285954,0.6408579538252498,36.71845602157661,0.8793198829471445,0.4963641371783056,28.439570161969545,1.3261658300108092,1.1661239824136074,0.8136952531758376,0.252798,0.31067896612808554,0.23884693460108017,0.013951065398919854,0.252798,0.9115944176560582,0.011351915691846758,0.23491831138233782,0.23752387771959865,298.45,304.0397285890012,30.88972858900121,46.6816303016215,0.0,0.0
3759,2017,6,6,15,0,25.0,1013.8,147.234,2.4,2017-06-06 15:00:00,15,45,157,22.64660153800634,0.6549202425870351,0.8567192525293867,49.08639739753644,0.7568046245906097,0.7123857228195137,40.81669530293464,1.3261658300108092,1.0036484331262248,0.6255102867234205,0.147234,0.23538222012502555,0.14448917898695435,0.0027448210130456563,0.147234,0.8653755821607346,0.001716913778874658,0.1365378183960588,0.13798603563320275,298.15,301.39727137190135,28.247271371901377,27.306750605988586,0.0,0.0
3760,2017,6,6,16,0,24.5,1014.2,88.896,1.9,2017-06-06 16:00:00,16,60,157,22.64660153800634,0.46378548994676727,1.0885330682780343,62.36835067275724,0.597139631340178,0.9308659052412992,53.33468766295126,1.3261658300108092,0.7919061748285958,0.3950317141878245,0.088896,0.22503509669538305,0.08740750842504444,0.0014884915749555638,0.088896,0.7766784611262192,0.0005880013784088311,0.1293993457595341,0.08317778908370327,297.65,299.60745063643645,26.457450636436477,16.537123357196688,0.0,0.0
3761,2017,6,6,17,0,23.7,1014.3,55.56,2.1,2017-06-06 17:00:00,17,75,157,22.64660153800634,0.2412043562351127,1.327189669269472,76.04236666250432,0.4112058086269893,1.1470198365503839,65.71939565212251,1.3261658300108092,0.5453270925030772,0.1379662694034999,0.055560000000000005,0.40270712718561463,0.04666876372457932,0.008891236275420683,0.055560000000000005,0.586578183417425,0.0012266906993048609,0.40003681155804166,0.04938967156919645,296.84999999999997,298.0123036042617,24.86230360426174,9.86004989058792,0.0,0.0
3762,2017,6,6,18,0,21.5,1014.5,13.89,0.6,2017-06-06 18:00:00,18,90,157,22.64660153800634,0.0023453778818057778,1.568450946762844,89.86561962280913,0.21167423919877726,1.3575086272814054,77.77951499582245,1.3261658300108092,0.28071514311895307,0.1281674623882342,0.013890000000000001,0.10837383951572334,0.013754521863221396,0.00013547813677860544,0.013890000000000001,0.011080129026013883,1.7363888999999964e-05,0.09876054655789972,0.012898998231780737,294.65,294.95355642505456,21.80355642505458,2.595443395070063,0.0,0.0
